ticker,event_date,price_change,spike,news_date,headline,content,sentiment,keywords,entity_count
AAPL,2023-01-13,3.7,yes,2023-01-12,Apple Announces Stock Split (Simulated 1),"Apple announces a 4-for-1 stock split, making shares more affordable. This is a simulated event for data generation purposes (Event 1).",neutral,"stock split, shares",2
AAPL,2021-03-03,-4.5,yes,2021-03-02,Apple Secures Major Government Contract (Simulated 2),Apple has won a multi-million dollar contract with the US government. This is a simulated event for data generation purposes (Event 2).,positive,"government contract, multi-million dollar",3
AAPL,2021-04-13,-4.2,yes,2021-04-12,Apple Announces Stock Split (Simulated 3),"Apple announces a 4-for-1 stock split, making shares more affordable. This is a simulated event for data generation purposes (Event 3).",neutral,"stock split, shares",2
AAPL,2022-05-02,0.8,no,2022-05-01,Apple Introduces New AI Feature (Simulated 4),Apple's new AI-driven features for Siri have increased excitement in the tech community. This is a simulated event for data generation purposes (Event 4).,positive,"AI, Siri, new feature",4
AAPL,2022-04-11,-0.7,no,2022-04-10,Apple Introduces New AI Feature (Simulated 5),Apple's new AI-driven features for Siri have increased excitement in the tech community. This is a simulated event for data generation purposes (Event 5).,positive,"AI, Siri, new feature",4
AAPL,2021-04-13,-0.5,no,2021-04-12,Apple Launches New Product Line (Simulated 6),"Apple launches a new series of iPhones, boosting investor confidence. This is a simulated event for data generation purposes (Event 6).",positive,"new product, iPhone, investor confidence",4
AAPL,2021-12-23,-2.1,no,2021-12-22,Apple Faces Legal Troubles in Europe (Simulated 7),Apple is facing new legal challenges in Europe over its app store policies. This is a simulated event for data generation purposes (Event 7).,negative,"legal troubles, app store",2
AAPL,2022-01-25,-1.8,no,2022-01-24,Apple Launches New Product Line (Simulated 8),"Apple launches a new series of iPhones, boosting investor confidence. This is a simulated event for data generation purposes (Event 8).",positive,"new product, iPhone, investor confidence",4
AAPL,2022-08-09,-3.8,yes,2022-08-08,Apple Stock Drops Amid iPhone Sales Concerns (Simulated 9),"iPhone sales in China are expected to decline, leading to a drop in Apple's stock price. This is a simulated event for data generation purposes (Event 9).",negative,"iPhone sales, decline",2
AAPL,2022-10-09,-2.8,no,2022-10-08,Apple to Announce Q1 Earnings Tomorrow (Simulated 10),"Apple Inc. is set to announce its Q1 earnings report, expecting strong revenue growth. This is a simulated event for data generation purposes (Event 10).",positive,"Q1 Earnings, revenue growth",3
AAPL,2021-01-31,0.5,no,2021-01-30,Apple Secures Major Government Contract (Simulated 11),Apple has won a multi-million dollar contract with the US government. This is a simulated event for data generation purposes (Event 11).,positive,"government contract, multi-million dollar",3
AAPL,2021-11-29,4.2,yes,2021-11-28,Apple Announces Stock Split (Simulated 12),"Apple announces a 4-for-1 stock split, making shares more affordable. This is a simulated event for data generation purposes (Event 12).",neutral,"stock split, shares",2
AAPL,2022-03-13,4.2,yes,2022-03-12,Apple Launches New Product Line (Simulated 13),"Apple launches a new series of iPhones, boosting investor confidence. This is a simulated event for data generation purposes (Event 13).",positive,"new product, iPhone, investor confidence",4
AAPL,2023-06-16,3.3,yes,2023-06-15,Apple Announces Stock Split (Simulated 14),"Apple announces a 4-for-1 stock split, making shares more affordable. This is a simulated event for data generation purposes (Event 14).",neutral,"stock split, shares",2
AAPL,2021-05-06,5.1,yes,2021-05-05,Apple Launches New Product Line (Simulated 15),"Apple launches a new series of iPhones, boosting investor confidence. This is a simulated event for data generation purposes (Event 15).",positive,"new product, iPhone, investor confidence",4
AAPL,2023-04-28,-3.1,yes,2023-04-27,Apple Faces Legal Troubles in Europe (Simulated 16),Apple is facing new legal challenges in Europe over its app store policies. This is a simulated event for data generation purposes (Event 16).,negative,"legal troubles, app store",2
AAPL,2023-03-13,6.4,yes,2023-03-12,Apple Introduces New AI Feature (Simulated 17),Apple's new AI-driven features for Siri have increased excitement in the tech community. This is a simulated event for data generation purposes (Event 17).,positive,"AI, Siri, new feature",4
AAPL,2022-12-30,2.1,no,2022-12-29,Apple Faces Legal Troubles in Europe (Simulated 18),Apple is facing new legal challenges in Europe over its app store policies. This is a simulated event for data generation purposes (Event 18).,negative,"legal troubles, app store",2
AAPL,2022-06-10,2.4,no,2022-06-09,Apple Secures Major Government Contract (Simulated 19),Apple has won a multi-million dollar contract with the US government. This is a simulated event for data generation purposes (Event 19).,positive,"government contract, multi-million dollar",3
